DistrictId|PartnerId|TotalAmount|TranCount|NetMargin|MaxDateTran|MaxDateIndex|F1|F2|Segment|CentroidID|F1LOG|F0LOG
1048608|5111853|571.53|13|94.3819|20160910|254|0.6435021929921132|0.7467790088918631|GOOD CUSTOMERS|200|4.547349317479376|6.348316975295453
1048608|6153989|48.99|1|1.0|20160811|224|0.42741228979488766|0.4359297828946418|LOWER RANGE CUSTOMERS|400|0.0|3.8916161956504833
1048608|7020230|1153.79|46|270.1037|20161213|348|0.7052928273928449|0.8186548337892547|MOST VALUED CUSTOMERS|100|5.598805959334881|7.050807454771883
1048608|7377593|42.65|4|12.231|20161221|356|0.4152220927121751|0.6070972556589922|AVERAGE CUSTOMERS|300|2.503973712505226|3.753027273937688
1048608|5615158|46.98|2|10.244|20161006|280|0.4237273000534962|0.5949785845517667|AVERAGE CUSTOMERS|300|2.3266921683372788|3.849721979230767
1048608|6726611|160.94|3|66.8134|20161227|362|0.5320325459766873|0.7231649190134233|GOOD CUSTOMERS|200|4.201903659227746|5.081031624717987
1048608|5124734|102.44|3|23.0637|20160623|175|0.4922965075213831|0.650456006690165|AVERAGE CUSTOMERS|300|3.1382599529674264|4.629277261331325
1048608|5945362|394.71|11|61.9452|20160910|254|0.6109426473996045|0.7179933692893901|GOOD CUSTOMERS|200|4.126250123233085|5.978151318045857
1048608|7947759|107.34|3|23.0958|20161021|295|0.49640633135514806|0.6505510815021991|AVERAGE CUSTOMERS|300|3.1396507828150004|4.676001366748682
1048608|7028597|22.99|1|6.2317|20160228|59|0.3608660097920674|0.5610015528975711|LOWER RANGE CUSTOMERS|400|1.8296491687704646|3.1350593387750902
1048608|7424603|3.17|1|1.3704|20160629|181|0.18658962846052218|0.45746967649586323|LOWER RANGE CUSTOMERS|400|0.31510266802777315|1.1537315878891892
1048608|4227158|940.6|19|147.5593|20161201|336|0.6873236487854988|0.7773270369055107|MOST VALUED CUSTOMERS|100|4.9942301288842055|6.8465179695109475
1048608|6260229|875.91|16|221.0471|20161223|358|0.6810561355258276|0.8049537619690441|MOST VALUED CUSTOMERS|100|5.398375800982395|6.775263345932276
1048608|5926172|397.83|4|69.732|20160809|222|0.6116351921696848|0.7260876249736878|GOOD CUSTOMERS|200|4.244659322880969|5.986024778357617
1048608|724212|13.99|1|6.992|20161012|286|0.3171751247985015|0.5688707913968026|LOWER RANGE CUSTOMERS|400|1.9447666383532343|2.63834278867739
1048608|8450005|237.25|3|55.1748|20160715|197|0.5661680736482901|0.7100813161643811|GOOD CUSTOMERS|200|4.010506327306144|5.469114437490037
1048608|3440659|268.64|4|54.1854|20161117|322|0.5770977101157302|0.7088443838690114|GOOD CUSTOMERS|200|3.992411499464533|5.59337219332923
1048608|3000099|272.18|5|63.9628|20161224|359|0.578249223334304|0.7201843592614239|GOOD CUSTOMERS|200|4.158301664368404|5.606463612132171
1048608|7549297|116.12|4|36.0001|20160806|219|0.5033219424948745|0.6808933592692406|GOOD CUSTOMERS|200|3.5835217162300297|4.754624139156429
1048608|8083276|112.23|2|32.9517|20161229|364|0.5003248316279492|0.6748450915311899|AVERAGE CUSTOMERS|300|3.4950428529408435|4.720550337028165
1048608|5104883|805.68|6|178.7397|20161218|353|0.6737047795306046|0.7904313589422568|MOST VALUED CUSTOMERS|100|5.1859305575362615|6.691686641339889
1048608|7028199|270.38|5|50.2561|20161128|333|0.5776655920907048|0.7036983980523324|GOOD CUSTOMERS|200|3.917131932606473|5.59982837693626
